City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,teya,60.3778,92.6267,-22.63,99,100,1.32,RU,1674553029
267,bethel,41.3712,-73.414,2.2,74,100,2.57,US,1674553030
268,mandurah,-32.55,115.7,27.25,55,2,11.85,AU,1674553031
269,sarangani,5.4033,125.4636,26.96,79,100,9.43,PH,1674553031
270,bandarbeyla,9.4942,50.8122,25.41,60,96,8.81,SO,1674553032
271,awjilah,29.1081,21.2869,18.08,36,0,5.33,LY,1674553033
272,almaznyy,48.0448,40.045,1.23,53,8,6.97,RU,1674553034
273,kars,40.602,43.095,-3.75,74,2,1.54,TR,1674553034
274,conceicao do araguaia,-8.2578,-49.2647,22.09,96,36,1.1,BR,1674553035
275,inawashiro,37.5667,140.1167,-5.04,81,100,7.4,JP,1674553036
276,lavrentiya,65.5833,-171.0,-26.25,95,21,4.85,RU,1674553037
277,vuktyl,63.8567,57.3094,-11.16,94,98,4.62,RU,1674553037
278,kundiawa,-6.0167,144.9667,18.22,98,100,1.17,PG,1674553038
279,novyy urengoy,66.0833,76.6333,-26.35,94,100,5.37,RU,1674552832
280,nishihara,26.1842,127.7558,10.6,62,75,18.01,JP,1674553039
281,ciudad bolivar,8.1222,-63.5497,21.09,91,37,3.39,VE,1674553040
282,maicao,11.3832,-72.2432,24.5,84,92,7.82,CO,1674553041
283,sinjar,36.3209,41.8754,12.3,41,0,0.64,IQ,1674553042
284,mar del plata,-38.0023,-57.5575,18.82,84,0,5.36,AR,1674553042
285,yar-sale,66.8333,70.8333,-11.43,95,100,6.67,RU,1674553043
286,genc,38.7507,40.5603,5.2,52,40,1.54,TR,1674553044
287,clyde river,70.4692,-68.5914,-29.87,69,100,6.17,CA,1674553045
288,sierra vista,31.5545,-110.3037,-1.38,79,0,4.12,US,1674552411
289,torres,-29.3353,-49.7269,21.29,80,0,1.65,BR,1674553046
290,samandag,36.0842,35.9771,12.29,55,0,3.48,TR,1674553047
291,college,64.8569,-147.8028,-20.23,79,100,0.0,US,1674552873
292,bosaso,11.2842,49.1816,26.99,61,0,5.66,SO,1674553048
293,medzev,48.7004,20.8937,5.61,79,57,2.88,SK,1674553049
294,zhangye,38.9342,100.4517,-10.97,50,18,1.03,CN,1674553050
295,yelizovo,53.1873,158.3805,-18.83,64,20,3.13,RU,1674553050
296,la peca,-5.6111,-78.435,18.8,94,90,0.99,PE,1674553051
297,iquique,-20.2208,-70.1431,20.02,78,100,2.76,CL,1674553052
298,port hardy,50.6996,-127.4199,5.1,100,100,4.63,CA,1674553053
299,turtas,58.9417,69.1325,-8.98,94,99,2.72,RU,1674553053
300,mezhdurechenskiy,59.6,65.9333,-6.09,90,97,3.23,RU,1674553054
301,borkenes,68.774,16.1739,2.88,89,99,10.28,NO,1674553055
302,iwanai,42.9744,140.5089,-12.32,86,100,5.89,JP,1674553055
303,finschhafen,-6.6024,147.8681,27.29,80,100,1.51,PG,1674553056
304,katsuura,35.1333,140.3,5.01,52,80,10.46,JP,1674553057
305,shumskiy,54.8318,99.1328,-14.01,97,100,0.65,RU,1674553058
306,leshukonskoye,64.8989,45.7622,-10.33,92,53,4.29,RU,1674553058
307,port hedland,-20.3167,118.5667,31.03,70,80,5.66,AU,1674553059
308,bubaque,11.2833,-15.8333,22.91,79,9,2.99,GW,1674553060
309,guanambi,-14.2233,-42.7814,22.4,83,94,0.08,BR,1674553060
310,shimoda,34.6667,138.95,5.06,58,69,15.37,JP,1674553061
311,asau,46.4333,26.4,-0.4,70,97,2.57,RO,1674553062
312,lagunas,-5.2269,-75.6753,21.19,97,100,1.04,PE,1674553063
313,touros,-5.1989,-35.4608,26.98,72,31,4.33,BR,1674553063
314,boguchany,58.3814,97.4531,-21.89,99,100,0.99,RU,1674553064
315,stornoway,58.2093,-6.3865,10.02,94,75,6.17,GB,1674553065
316,skelleftea,64.7507,20.9528,-2.22,100,0,3.09,SE,1674553065
317,sinnamary,5.3833,-52.95,24.16,82,48,4.99,GF,1674553066
318,tweed,44.4751,-77.3162,0.13,84,100,5.35,CA,1674553067
319,columbus,39.9612,-82.9988,-1.64,89,75,4.63,US,1674553034
320,port hawkesbury,45.6169,-61.3485,1.21,99,100,15.43,CA,1674553068
321,chabahar,25.2919,60.643,17.89,23,0,1.47,IR,1674553069
322,west fargo,46.875,-96.9004,-7.97,86,0,2.06,US,1674553070
323,hirara,24.8,125.2833,12.15,62,75,18.01,JP,1674553070
324,ahuimanu,21.4447,-157.8378,23.84,88,20,0.45,US,1674553071
325,acapulco,16.8634,-99.8901,20.9,83,0,1.54,MX,1674553072
326,alta floresta,-9.8756,-56.0861,21.26,99,100,1.11,BR,1674553072
327,inirida,3.8653,-67.9239,21.36,98,83,0.26,CO,1674553073
328,ust-nera,64.5667,143.2,-39.07,99,31,0.81,RU,1674553074
329,phibun mangsahan,15.2447,105.2291,24.99,61,77,11.9,TH,1674553074
330,qaqortoq,60.7167,-46.0333,-1.91,96,100,2.59,GL,1674553075
331,caravelas,-17.7125,-39.2481,26.14,82,100,4.05,BR,1674553076
332,huntsville,34.7304,-86.5861,1.22,92,0,0.0,US,1674552827
333,taltal,-25.4,-70.4833,19.41,84,30,0.51,CL,1674553078
334,beira,-19.8436,34.8389,31.05,66,40,5.5,MZ,1674553078
335,bima,-8.4667,118.7167,28.14,76,100,0.32,ID,1674553079
336,dinagat,9.9561,125.5933,26.98,76,97,8.35,PH,1674553080
337,ellensburg,46.9965,-120.5479,0.86,85,73,0.89,US,1674553081
338,lagoa,39.05,-27.9833,15.44,75,100,7.6,PT,1674552907
